time iter num.topics num.tables likelihood gamma alpha split merge trial
    0.00 00192 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00193 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00194 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00195 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00196 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00197 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00198 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00199 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00200 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00201 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00202 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00203 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00204 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00205 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00206 0002 00062 -73.23081 0.10000 1.00000 0 0 0
    0.00 00207 0002 00062 -72.40835 0.10000 1.00000 0 0 0
    0.00 00208 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00209 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00210 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00211 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00212 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00213 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00214 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00215 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00216 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00217 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00218 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00219 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00220 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00221 0002 00061 -68.47475 0.10000 1.00000 0 0 0
    0.00 00222 0002 00062 -68.49291 0.10000 1.00000 0 0 0
    0.00 00223 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00224 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00225 0002 00062 -68.49291 0.10000 1.00000 0 0 0
    0.00 00226 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00227 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00228 0002 00063 -76.11523 0.10000 1.00000 0 0 0
    0.00 00229 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00230 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00231 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00232 0002 00062 -67.09478 0.10000 1.00000 0 0 0
    0.00 00233 0002 00063 -70.02483 0.10000 1.00000 0 0 0
    0.00 00234 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00235 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00236 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00237 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00238 0002 00063 -67.11266 0.10000 1.00000 0 0 0
    0.00 00239 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00240 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00241 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00242 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00243 0003 00063 -74.30747 0.10000 1.00000 0 0 0
    0.00 00244 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00245 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00246 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00247 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00248 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00249 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00250 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00251 0002 00062 -67.09478 0.10000 1.00000 0 0 0
    0.00 00252 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00253 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00254 0002 00063 -66.90135 0.10000 1.00000 0 0 0
    0.00 00255 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00256 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00257 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00258 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00259 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00260 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00261 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00262 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00263 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00264 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00265 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00266 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00267 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00268 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00269 0002 00063 -71.01222 0.10000 1.00000 0 0 0
    0.00 00270 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00271 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00272 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00273 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00274 0002 00062 -67.09478 0.10000 1.00000 0 0 0
    0.00 00275 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00276 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00277 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00278 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00279 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00280 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00281 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00282 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00283 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00284 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00285 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00286 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00287 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00288 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00289 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00290 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00291 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00292 0002 00062 -71.14180 0.10000 1.00000 0 0 0
    0.00 00293 0002 00062 -78.40956 0.10000 1.00000 0 0 0
    0.00 00294 0002 00062 -72.86296 0.10000 1.00000 0 0 0
    0.00 00295 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00296 0001 00061 -61.10090 0.10000 1.00000 0 0 0
    0.00 00297 0001 00062 -61.10254 0.10000 1.00000 0 0 0
    0.00 00298 0001 00063 -61.10415 0.10000 1.00000 0 0 0
    0.00 00299 0001 00062 -61.10254 0.10000 1.00000 0 0 0
